Farm ID,Farm Size (Acres),Crop Type,Annual Yield (Tons),Soil pH,Rainfall (mm/year),Temperature (°C),Fertilizer Usage (kg/acre)
1,190.4,Rice,99.22,7.32,1236.97,30.74,328.23
2,475.6,Corn,85.29,6.39,1044.9,27.73,401.66
3,367.34,Rice,21.64,5.91,1726.61,12.64,366.47
4,301.34,Rice,93.13,7.45,573.16,30.97,425.51
5,82.23,Wheat,12.52,7.72,342.45,26.78,75.3
6,82.22,Wheat,81.93,6.45,1063.37,27.43,386.38
7,33.75,Rice,38.68,7.43,703.71,19.07,432.88
8,433.76,Wheat,87.92,6.69,384.34,31.98,178.76
9,302.55,Corn,86.94,7.64,1531.82,28.13,338.2
10,355.5,Corn,80.79,6.1,489.71,12.81,191.37
11,15.19,Wheat,79.21,8.17,1334.14,20.19,481.09
12,485.11,Corn,31.16,6.36,777.78,32.16,65.04
13,417.06,Wheat,9.01,6.6,594.94,11.18,310.91
14,110.11,Rice,40.9,5.67,945.58,34.04,124.93
15,95.0,Rice,18.18,5.83,1662.46,26.98,370.5
16,95.79,Corn,69.8,7.05,966.56,25.78,129.15
17,155.6,Wheat,35.26,6.3,1576.31,16.76,155.92
18,264.75,Wheat,97.59,8.01,513.33,16.22,272.47
19,218.81,Corn,64.46,5.54,1613.71,33.55,461.68
20,149.16,Rice,82.43,6.64,702.79,17.46,145.27
21,307.87,Corn,14.12,6.51,1451.57,29.39,114.91
22,74.05,Rice,86.34,5.56,1261.83,19.83,391.54
23,149.61,Wheat,92.35,5.87,1879.55,13.48,275.28
24,186.35,Rice,49.22,6.74,958.45,10.27,460.3
25,230.75,Corn,61.02,6.98,412.48,23.61,115.98
26,393.66,Wheat,76.72,6.71,332.56,34.39,340.67
27,103.84,Corn,18.31,7.09,1705.66,19.23,154.8
28,259.55,Corn,50.75,7.29,1192.05,18.93,120.54
29,298.25,Rice,40.47,5.53,1617.91,18.6,357.54
30,27.99,Corn,15.49,6.89,698.52,23.01,317.16
31,305.73,Rice,37.39,8.39,886.64,21.02,389.67
32,89.41,Wheat,7.75,7.06,351.18,32.0,189.26
33,37.2,Rice,3.56,7.53,1934.54,22.64,251.59
34,474.7,Wheat,14.38,6.44,1435.38,22.69,232.46
35,482.99,Rice,96.35,7.82,1886.45,13.46,492.84
36,405.16,Corn,55.4,7.82,751.34,34.57,181.51
37,155.78,Rice,96.62,7.06,1339.49,16.25,182.67
38,53.35,Rice,43.82,8.43,1453.45,11.83,209.55
39,343.7,Wheat,31.87,5.88,839.83,26.58,304.07
40,222.88,Corn,51.11,5.55,1741.79,24.88,163.55
41,65.41,Rice,44.51,7.81,1910.17,20.38,461.88
42,250.11,Corn,11.46,7.92,1804.25,20.55,169.56
43,22.02,Rice,64.44,5.86,1556.41,29.63,453.12
44,455.11,Rice,22.39,6.3,771.69,14.89,96.56
45,133.1,Corn,62.34,5.55,778.75,30.51,345.45
46,332.95,Rice,65.37,6.38,1937.71,26.22,458.14
47,159.3,Corn,16.05,7.82,317.48,20.47,125.94
48,262.43,Rice,7.07,7.05,1517.28,21.45,485.75
49,275.62,Wheat,78.3,6.54,1500.62,16.42,253.8
50,96.5,Corn,46.52,6.62,1358.57,28.8,475.57
51,484.94,Rice,6.76,5.5,1983.19,22.82,354.57
52,388.69,Rice,99.49,6.4,830.2,18.02,185.71
53,470.05,Wheat,6.72,7.44,877.95,24.9,134.74
54,447.94,Corn,69.81,8.42,434.2,34.89,186.68
55,300.96,Rice,98.38,8.04,1052.76,20.88,91.86
56,461.33,Wheat,24.68,5.57,743.78,33.02,114.74
57,48.8,Rice,15.08,8.2,883.76,18.63,97.1
58,102.01,Corn,13.02,7.85,1718.77,11.37,240.32
59,27.39,Rice,31.02,7.84,1890.32,15.11,408.01
60,166.04,Rice,11.0,6.87,615.75,20.47,113.62
61,197.4,Rice,69.52,6.69,933.27,15.49,108.64
62,139.32,Rice,7.17,6.41,1878.67,10.01,339.54
63,415.23,Wheat,51.43,5.7,405.07,32.88,138.73
64,181.59,Wheat,99.67,6.18,457.01,31.1,93.92
65,144.06,Corn,81.58,6.24,576.74,28.56,125.08
66,273.63,Wheat,61.91,6.95,1311.86,14.2,465.68
67,74.76,Wheat,31.32,7.74,555.8,13.01,419.66
68,402.09,Corn,62.77,6.92,1945.73,11.69,209.33
69,41.9,Wheat,53.18,5.67,1059.41,28.1,345.12
70,493.51,Wheat,43.18,8.37,1152.58,33.22,291.77
71,387.26,Corn,13.94,8.33,719.32,20.76,354.71
72,103.36,Corn,88.77,7.86,1100.63,12.98,357.2
73,7.73,Corn,45.53,8.47,1425.25,22.81,332.93
74,408.65,Rice,20.27,7.13,1577.0,18.72,169.75
75,354.89,Rice,37.41,8.39,1581.58,19.37,67.55
76,365.86,Corn,42.0,5.73,1282.41,25.53,255.01
77,386.78,Corn,82.93,6.6,1837.41,27.97,450.94
78,41.65,Corn,73.63,6.18,1689.59,12.77,306.27
79,182.44,Rice,77.16,6.09,1586.98,10.89,424.58
80,62.36,Rice,2.09,5.92,394.53,34.86,496.23
81,432.24,Wheat,42.2,7.37,311.69,15.82,123.63
82,313.53,Wheat,48.65,7.84,661.16,11.35,361.3
83,168.79,Corn,2.9,7.23,1427.99,14.75,353.43
84,36.46,Rice,26.72,5.94,999.04,10.97,490.98
85,158.94,Rice,76.27,7.93,984.09,19.8,493.52
